,Subject Domain,Top K Keywords
0,Computer Science,"['hour', 'cours', 'graduat', 'topic', 'inform', 'credit', 'quantum', 'comput', 'student', 'data']"
1,Biomedical Sciences,"['protein', 'student', 'cours', 'molecular', 'biochemistri', 'sequenc', 'cell', 'basic', 'signal', 'structur']"
2,Biological Sciences,"['student', 'cours', 'biolog', 'food', 'major', 'scienc', 'provid', 'environment', 'ecolog', 'studi']"
3,English,"['present', 'studi', 'cours', 'languag', 'student', 'skill', 'learn', 'profession', 'commun', 'academ']"
4,Chemistry,"['chemistri', 'chem', 'cours', 'student', 'chemic', 'organ', 'hour', 'reaction', 'credit', 'prerequisit']"
5,Chinese,"['email', 'messag', 'techniqu', 'write', 'style', 'rhetor', 'report', 'chines', 'student', 'reader-bas']"
6,Earth Sciences,"['hour', 'geol', 'prerequisit', 'student', 'geolog', 'environment', 'earth', 'cours', 'graduat', 'scienc']"
7,Mathematics,"['math', 'hour', 'prerequisit', 'cours', 'linear', 'differenti', 'mathemat', 'student', 'equat', 'credit']"
8,Physics,"['elect', 'cours', 'physic', 'astronomi', 'theme', 'numer', 'phi', 'introduc', 'essenti', 'postgradu']"
9,Faculty,"['student', 'cours', 'scienc', 'research', 'develop', 'differ', 'work', 'opportun', 'provid', 'univers']"
10,Statistics & Actuarial Science,"['model', 'statist', 'cours', 'stat', 'student', 'data', 'analysi', 'hour', 'topic', 'method']"
11,Biology,"['hour', 'student', 'graduat', 'credit', 'prerequisit', 'repeat', 'grade', 'consent', 'mcb', 'instructor']"
12,Nutritional Science,"['hour', 'fshn', 'food', 'graduat', 'nutrit', 'prerequisit', 'credit', 'scienc', 'repeat', 'cours']"
